"last_name, first_name",player_id,year,eye
"Hernández, Teoscar",606192,2023,Brown
"Hoerner, Nico",663538,2022,Blue
"Hoerner, Nico",663538,2023,Blue
"Hoskins, Rhys",656555,2022,Blue
"Hosmer, Eric",543333,2021,Brown
"Iglesias, Jose",578428,2021,Brown
"India, Jonathan",663697,2021,Brown
"India, Jonathan",663697,2023,Brown
"Judge, Aaron",592450,2021,Brown
"Judge, Aaron",592450,2022,Brown
"Jung, Josh",673962,2023,Blue
"Kemp, Tony",643393,2022,Brown
"Kim, Ha-Seong",673490,2022,Brown
"Kim, Ha-Seong",673490,2023,Brown
"Kiner-Falefa, Isiah",643396,2021,Brown
"Kiner-Falefa, Isiah",643396,2022,Brown
"Kirk, Alejandro",672386,2022,Brown
"Kwan, Steven",680757,2022,Brown
"Kwan, Steven",680757,2023,Brown
"LeMahieu, DJ",518934,2021,Blue
"LeMahieu, DJ",518934,2022,Blue
"LeMahieu, DJ",518934,2023,Blue
"Lindor, Francisco",596019,2021,Brown
"Lindor, Francisco",596019,2022,Brown
"Lindor, Francisco",596019,2023,Brown
"Lopez, Nicky",670032,2021,Brown
"Lowe, Brandon",664040,2021,Brown
"Lowe, Nathaniel",663993,2021,Brown
"Lowe, Nathaniel",663993,2022,Brown
"Lowe, Nathaniel",663993,2023,Brown
"Lowrie, Jed",476704,2021,Blue
"Machado, Manny",592518,2021,Brown
"Machado, Manny",592518,2022,Brown
"Machado, Manny",592518,2023,Brown
"Mancini III, Trey",641820,2021,Brown
"Mancini III, Trey",641820,2022,Brown
"Marte, Ketel",606466,2022,Brown
"Marte, Ketel",606466,2023,Brown
"Marte, Starling",516782,2021,Brown
"Marte, Starling",516782,2022,Brown
"Martinez, J.D.",502110,2021,Brown
"Martinez, J.D.",502110,2022,Brown
"Mateo, Jorge",622761,2022,Brown
"McCutchen, Andrew",457705,2021,Brown
"McCutchen, Andrew",457705,2022,Brown
"McKinstry, Zach",656716,2023,Brown
"McMahon, Ryan",641857,2021,Blue
"McMahon, Ryan",641857,2022,Blue
"McMahon, Ryan",641857,2023,Blue
"McNeil, Jeff",643446,2022,Blue
"McNeil, Jeff",643446,2023,Blue
"Meadows, Austin",640457,2021,Blue
"Melendez Jr., MJ",669004,2022,Brown
"Melendez Jr., MJ",669004,2023,Brown
"Meneses, Joey",608841,2023,Brown
"Merrifield, Whit",593160,2021,Brown
"Merrifield, Whit",593160,2022,Brown
"Merrifield, Whit",593160,2023,Brown
"Moncada, Yoán",660162,2021,Brown
"Mountcastle, Ryan",663624,2021,Blue
"Mountcastle, Ryan",663624,2022,Blue
"Mullins II, Cedric",656775,2021,Brown
"Mullins II, Cedric",656775,2022,Brown
"Muncy, Max",571970,2021,Blue
"Muncy, Max",571970,2022,Blue
"Muncy, Max",571970,2023,Blue
"Murphy, Sean",669221,2022,Blue
"Newman, Kevin",621028,2021,Blue
"Nimmo, Brandon",607043,2022,Blue
"Nimmo, Brandon",607043,2023,Blue
"Nootbaar, Lars",663457,2023,Brown
"Ohtani, Shohei",660271,2021,Brown
"Ohtani, Shohei",660271,2022,Brown
"Ohtani, Shohei",660271,2023,Brown
"Olson, Matt",621566,2021,Brown
"Olson, Matt",621566,2022,Brown
"Olson, Matt",621566,2023,Brown
"O'Neill, Tyler",641933,2021,Brown
"Outman, James",681546,2023,Brown
"Ozuna, Marcell",542303,2022,Brown
"Ozuna, Marcell",542303,2023,Brown
"Paredes, Isaac",670623,2023,Brown
"Peña, Jeremy",665161,2022,Brown
"Peña, Jeremy",665161,2023,Brown
"Peralta, David",444482,2021,Brown
"Perez, Salvador",521692,2021,Brown
"Perez, Salvador",521692,2023,Brown
"Pham, Tommy",502054,2021,Brown
"Pham, Tommy",502054,2022,Brown
"Polanco, Jorge",593871,2021,Brown
"Pollock, AJ",572041,2022,Blue
"Profar, Jurickson",595777,2022,Brown
"Profar, Jurickson",595777,2023,Brown
"Raleigh, Cal",663728,2023,Blue
"Ramírez, José",608070,2021,Brown
"Ramírez, José",608070,2022,Brown
"Ramírez, José",608070,2023,Brown
"Realmuto, J.T.",592663,2021,Blue
"Realmuto, J.T.",592663,2022,Blue
"Realmuto, J.T.",592663,2023,Blue
"Renfroe, Hunter",592669,2021,Blue
"Renfroe, Hunter",592669,2022,Blue
"Renfroe, Hunter",592669,2023,Blue
"Rengifo, Luis",650859,2022,Brown
"Reynolds, Bryan",668804,2021,Brown
"Reynolds, Bryan",668804,2022,Brown
"Reynolds, Bryan",668804,2023,Brown
"Riley, Austin",663586,2021,Blue
"Riley, Austin",663586,2022,Blue
"Riley, Austin",663586,2023,Blue
"Rizzo, Anthony",519203,2021,Brown
"Rizzo, Anthony",519203,2022,Brown
"Robert Jr., Luis",673357,2023,Brown
"Rodgers, Brendan",663898,2022,Blue
"Rodríguez, Julio",677594,2022,Brown
"Rodríguez, Julio",677594,2023,Brown
"Rojas, Josh",668942,2021,Brown
"Rojas, Josh",668942,2022,Brown
"Rojas, Miguel",500743,2021,Brown
"Rojas, Miguel",500743,2022,Brown
"Rooker Jr., Brent",667670,2023,Brown
"Rosario, Amed",642708,2021,Brown
"Rosario, Amed",642708,2022,Brown
"Rosario, Amed",642708,2023,Brown
"Rosario, Eddie",592696,2023,Brown
"Ruiz, Keibert",660688,2023,Brown
"Rutschman, Adley",668939,2023,Blue
"Sanó, Miguel",593934,2021,Brown
"Santana, Carlos",467793,2021,Brown
"Santana, Carlos",467793,2022,Brown
"Santana, Carlos",467793,2023,Brown
"Santander, Anthony",623993,2022,Brown
"Santander, Anthony",623993,2023,Brown
"Schoop, Jonathan",570731,2021,Brown
"Schoop, Jonathan",570731,2022,Brown
"Schwarber, Kyle",656941,2022,Brown
"Schwarber, Kyle",656941,2023,Brown
"Seager, Corey",608369,2022,Blue
"Seager, Corey",608369,2023,Blue
"Seager, Kyle",572122,2021,Blue
"Segura, Jean",516416,2021,Brown
"Semien, Marcus",543760,2021,Brown
"Semien, Marcus",543760,2022,Brown
"Semien, Marcus",543760,2023,Brown
"Smith, Dominic",642086,2023,Brown
"Smith, Pavin",656976,2021,Blue
"Smith, Will",669257,2022,Brown
"Smith, Will",669257,2023,Brown
"Solak, Nick",669256,2021,Brown
"Soler, Jorge",624585,2021,Brown
"Soler, Jorge",624585,2023,Brown
"Soto, Juan",665742,2021,Brown
"Soto, Juan",665742,2022,Brown
"Soto, Juan",665742,2023,Brown
"Springer III, George",543807,2022,Brown
"Springer III, George",543807,2023,Brown
"Stanton, Giancarlo",519317,2021,Brown
"Steer, Spencer",668715,2023,Brown
"Stephenson, Tyler",663886,2023,Blue
"Story, Trevor",596115,2021,Blue
"Stott, Bryson",681082,2023,Gray
"Straw, Myles",664702,2021,Blue
"Straw, Myles",664702,2022,Blue
"Straw, Myles",664702,2023,Blue
"Suárez, Eugenio",553993,2021,Brown
"Suárez, Eugenio",553993,2022,Brown
"Suárez, Eugenio",553993,2023,Brown
"Suwinski, Jack",669261,2023,Blue
"Suzuki, Seiya",673548,2023,Brown
"Swanson, Dansby",621020,2021,Brown
"Swanson, Dansby",621020,2022,Brown
"Swanson, Dansby",621020,2023,Brown
"Tapia, Raimel",606132,2021,Brown
"Tatis Jr., Fernando",665487,2021,Brown
"Tatis Jr., Fernando",665487,2023,Brown
"Taveras, Leody",665750,2023,Brown
"Taylor, Chris",621035,2021,Blue
"Taylor, Michael A.",572191,2021,Brown
"Tellez, Rowdy",642133,2022,Brown
"Thomas, Lane",657041,2022,Brown
"Thomas, Lane",657041,2023,Brown
"Torkelson, Spencer",679529,2023,Brown
"Torres, Gleyber",650402,2021,Brown
"Torres, Gleyber",650402,2022,Brown
"Torres, Gleyber",650402,2023,Brown
"Tovar, Ezequiel",678662,2023,Brown
"Tucker, Kyle",663656,2021,Blue
"Tucker, Kyle",663656,2022,Blue
"Tucker, Kyle",663656,2023,Blue
"Turner, Justin",457759,2021,Brown
"Turner, Justin",457759,2022,Brown
"Turner, Justin",457759,2023,Brown
"Turner, Trea",607208,2021,Blue
"Turner, Trea",607208,2022,Blue
"Turner, Trea",607208,2023,Blue
"Urías, Luis",649966,2021,Gray
"Urshela, Gio",570482,2022,Brown
"Varsho, Daulton",662139,2022,Blue
"Varsho, Daulton",662139,2023,Blue
"Vaughn, Andrew",683734,2022,Gray
"Vaughn, Andrew",683734,2023,Blue
"Verdugo, Alex",657077,2021,Blue
"Verdugo, Alex",657077,2022,Blue
"Verdugo, Alex",657077,2023,Blue
"Vierling, Matt",663837,2023,Brown
"Villar, Jonathan",542340,2021,Brown
"Voit III, Luke",572228,2022,Gray
"Volpe, Anthony",683011,2023,Brown
"Votto, Joey",458015,2021,Brown
"Wade Jr., LaMonte",664774,2023,Brown
"Walker, Christian",572233,2022,Blue
"Walker, Christian",572233,2023,Blue
"Walsh, Jared",665120,2021,Gray
"Ward, Taylor",621493,2022,Blue
"Winker, Jesse",608385,2022,Brown
"Wisdom, Patrick",621550,2022,Blue
"Witt Jr., Bobby",677951,2022,Brown
"Witt Jr., Bobby",677951,2023,Brown
"Yastrzemski, Mike",573262,2021,Brown
"Yastrzemski, Mike",573262,2022,Brown
"Yelich, Christian",592885,2022,Brown
"Yelich, Christian",592885,2023,Brown
"Yoshida, Masataka",807799,2023,Brown
